"id","Year","DOY","Treatment","Cut_Number","Molehill","Lodging","N_species","height_obs","biomass_obs","height_dem_mean","height_dem_sd","height_dem_min","height_dem_q25","height_dem_q50","height_dem_q75","height_dem_q90","height_dem_max"
34,2023,265,1,2,NA,2,NA,0.36,728.89,0.338682544,0.031132373,0.261146545,0.31502533,0.336448669,0.359527588,0.381611633,0.421539307
35,2022,165,1,1,1,2,4,0.318,844.81,0.387706029,0.092400836,0.166297913,0.323955536,0.397506714,0.467247009,0.501579285,0.537857056
35,2022,257,1,2,0,2,3,0.336,447.56,0.274263109,0.050249433,0.153404236,0.23718071,0.269321442,0.316884995,0.343202209,0.397003174
35,2023,157,1,1,NA,1,8,0.574,778.72,0.610540876,0.081797901,0.366470337,0.553352356,0.607807159,0.678874969,0.721749115,0.790100098
35,2023,265,1,2,NA,2,4,0.326,773.63,0.287563735,0.027971103,0.172111511,0.274374008,0.292644501,0.306251526,0.316264343,0.355918884
36,2022,165,1,1,0,1,NA,0.284,852.84,0.360463856,0.069931518,0.230041504,0.305580139,0.342086792,0.41425705,0.464080811,0.531654358
36,2022,257,1,2,1,1,NA,0.316,340.37,0.238082388,0.028477825,0.172775269,0.216842651,0.239181519,0.259235382,0.27460022,0.306365967
36,2023,265,1,2,NA,1,NA,0.324,677.94,0.338358289,0.031283799,0.247589111,0.317911148,0.340503693,0.361728668,0.377376556,0.409721375
37,2022,165,2,1,0,1,NA,0.4,933.81,0.471270931,0.096939943,0.200813293,0.403190613,0.479293823,0.544631958,0.592273712,0.695739746
37,2022,214,2,2,1,0,NA,0.092,32.4,0.061559996,0.036506017,0.010032654,0.034378052,0.049263,0.08769989,0.117904663,0.177612305
37,2022,257,2,3,0,0,NA,0.106,54.07,0.051179675,0.020141192,0.010009766,0.036214828,0.050598145,0.063768387,0.081112671,0.105674744
37,2023,157,2,1,NA,2,8,0.326,662.51,0.464101555,0.102957441,0.148727417,0.397972107,0.471878052,0.545791626,0.591680908,0.653160095
